,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
9322,Poland,     Algeria,8,W-3 Sokol,Helicopter,2011,2014,8,W-3A version
9323,Poland,     Angola,52,BMP-2,IFV,1994,1994-1995,52,Second-hand
9324,Poland,     Bulgaria,1,Project-130/Bereza,Degaussing ship,1987,1988,1,Bulgarian designation Dobrev; also for use as training ship
9325,Poland,     Burkina Faso,2,Xenon,Light aircraft,2010,2010,2,
9326,Poland,     Cambodia,50,T-55AM-2,Tank,1994,1994,50,Second-hand
9327,Poland,     Croatia,4,MiG-21PFM,Fighter aircraft,2002,2003-2004,4,Second-hand; aid; MiG-21UM version; modernized to MiG-21UD version in Romania before delivery
9328,Poland,     Cyprus,2,Kania,Light helicopter,1989,1990,2,
9329,Poland,     Czechia,11,W-3 Sokol,Helicopter,1995,1996-1997,11,"Exchanged for 10 Second-hand MiG-29 combat aircraft, W-3A version"
9330,Poland,     Czechoslovakia,71,Mi-2,Light helicopter,1971,1972-1990,71,From Polish production line; incl 27 for police
9332,Poland,     Djibouti,1,An-28TD Bryza-1TD,Light transport ac,1995,1995,1,
9333,Poland,     East Germany (GDR),1,Wodnik,Training ship,1974,1976,1,GDR designation Pieck
9335,Poland,     Ecuador,1,M28 Skytruck,Light transport ac,2018,2018,1,
9336,Poland,     Egypt,10,PZL-104 Wilga,Light aircraft,1969,1971,10,
9337,Poland,     Georgia,100,Grom-2,Portable SAM,2006,2007,100,Incl 30 launchers
9338,Poland,     Germany,2,M28 Skytruck,Light transport ac,2017,2017,2,For German company for training of German military
9339,Poland,     India,2,Project-771/Polnocny,Landing ship,1965,1966,2,Type-771 (Polnocny-A) version; Indian designation Gharial
9349,Poland,     Indonesia,2,Project-613/Whiskey,Submarine,1958,1959,2,Second-hand
9356,Poland,     Iran,104,T-72M1,Tank,1993,1994-1995,104,
9357,Poland,     Iraq,4,Project-771/Polnocny,Landing ship,1976,1977-1979,4,
9361,Poland,     Jordan,1,M28 Skytruck,Light transport ac,2013,2014,1,
9363,Poland,     Latvia,2,BRDM-2,Reconnaissance AV,1992,1992,2,Second-hand
9366,Poland,     Lithuania,11,BRDM-2,Reconnaissance AV,1994,1995,11,Second-hand; aid
9373,Poland,     Malaysia,3,MID-M,AEV,2003,2010,3,Part of $368-400 m deal (offsets $111 m)
9377,Poland,     Mauritania,16,T-55AM-2,Tank,2001,2002,16,Second-hand
9378,Poland,     Mongolia,15,An-2,Light transport ac,1960,1960-1962,15,Probably from Polish production line; possibly incl for MIAT military-operated civilian airline
9380,Poland,     Myanmar,22,Mi-2,Light helicopter,1990,1990-1992,22,
9382,Poland,     Nepal,1,M28 Skytruck,Light transport ac,2002,2002,1,$4 m deal (probably financed partly by UK anti-terrorism aid)
9385,Poland,     Nigeria,6,MiG-15UTI,Trainer aircraft,1965,1967,6,Second-hand
9387,Poland,     Peru,2,An-28TD Bryza-1TD,Light transport ac,2001,2001,2,Second-hand; supplier uncertain
9388,Poland,     Philippines,8,W-3 Sokol,Helicopter,2011,2012-2013,8,PHP2.8 b ($64 m) deal
9389,Poland,     Russia,1,Project-775/Ropucha,Landing ship,1980,1992,1,Originally ordered by Soviet Union and delivered to Russia after end of Soviet Union
9390,Poland,     South Yemen,1,Project-775/Ropucha,Landing ship,1978,1979,1,
9391,Poland,     Soviet Union,12,Project-300/Oskol,Repair ship,1959,1963-1970,12,
9404,Poland,     Sudan,20,T-55AM-2,Tank,1998,1999,20,Second-hand; export licence for 50 given for delivery to Yemen but after first 20 illegally diverted to Sudan rest kept in Poland
9405,Poland,     Syria,12,MiG-21F-13,Fighter aircraft,1973,1973,12,Second-hand; MiG-21F-13 version
9407,Poland,     Tanzania,3,An-28TD Bryza-1TD,Light transport ac,2000,2000,3,Second-hand; aid
9408,Poland,     Togo,20,BMP-2,IFV,1996,1997,20,Probably second-hand
9409,Poland,     Uganda,7,MiG-21bis,Fighter aircraft,1998,1999,7,Second-hand; $8.5 m deal (to fund Polish Su-22 modernization programme); incl 1 MiG-21UM version; modernized in Israel after delivery
9410,Poland,     Ukraine,100,Warmate,Loitering munition,2017,2018,100,
9411,Poland,     United States,4,MiG-15bis,Fighter aircraft,1986,1986,4,Supplier uncertain; probably Second-hand; for testing of air defence systems as part of 'Capability Improvement Program'
9416,Poland,     Unknown recipient(s),100,Warmate,Loitering munition,2016,2018,100,Recipient is Middle Eastern or Asian country
9419,Poland,     Uruguay,3,MT-LB,APC,1998,1999,3,Delivered via Czech Republic
9420,Poland,     Venezuela,6,M28 Skytruck,Light transport ac,1995,1996-1997,6,For National Guard
9424,Poland,     Viet Nam,4,An-2,Light transport ac,1999,2002,4,An-2TD version
9426,Poland,     Yemen,3,Deba,Landing craft,1999,2001,3,Part of $50 m deal; Yemeni designation Dhaffar
9430,Portugal, Angola,5,AML-60/90,Armoured car,1974,1974,5,Second-hand; left behind after Portugese withdrawal at independence
9442,Portugal,     Belgium,1,A-330,Transport aircraft,2009,2009,1,Second-hand; EUR48 m 4-year lease; leased via French company; A-330-300 version
9444,Portugal,     Biafra,2,Vampire T-55,Trainer aircraft,1967,1967,2,Second-hand
9445,Portugal,     Cabo Verde,2,C-212,Transport aircraft,2018,2019,2,Second-hand; C-212-100 version; for coast guard
9446,Portugal,     Chile,1,Boeing-767,Transport aircraft,2008,2008,1,Second-hand; $50 m deal
9447,Portugal,     Colombia,2,AS365/AS565 Panther,Helicopter,2018,2018,2,Second-hand; $7 m deal; AS-365N3 version
9448,Portugal,     Ecuador,1,DC-6/C-118,Transport aircraft,1970,1971,1,Second-hand
9449,Portugal,     Guinea-Bissau,9,DC-3/C-47 Skytrain,Transport aircraft,1974,1974,9,Second-hand; handed over at independence; incl for use by LAGB airline
9452,Portugal,     Italy,4,Boeing-707,Transport aircraft,1988,1989,4,Second-hand; modified to Boeing-707T/T tanker/transport aircraft in Italy
9453,Portugal,     Lebanon,30,Chaimite,APC,1972,1973,30,For police
9454,Portugal,     Libya,16,Chaimite,APC,1978,1978,16,
9455,Portugal,     Mozambique,1,Alfange,Landing craft,1975,1975,1,Second-hand; handed over at independence
9467,Portugal,     Pakistan,1,Daphné,Submarine,1975,1975,1,Second-hand; Pakistani designation Hangor
9468,Portugal,     Peru,15,Chaimite,APC,1976,1978-1979,15,No. could be up to 40
9469,Portugal,     Philippines,20,Chaimite,APC,1978,1979-1980,20,
9470,Portugal,     Romania,2,F110,Turbofan,2013,2016,2,Probably second-hand; spares for F-16 combat aircraft
9473,Portugal,     Sudan,2,SA-316B Alouette-3,Light helicopter,1985,1986,2,Second-hand but modernized before delivery
9474,Portugal,     Suriname,2,SA-316B Alouette-3,Light helicopter,1986,1987,2,Second-hand
9475,Portugal,     Uruguay,2,Commandant Riviere,Frigate,2007,2008,2,Second-hand; $15 m deal
9480,Qatar, Bosnia-Herzegovina,25,AMX-10P,IFV,1999,1999,25,Second-hand; aid
9481,Qatar,     Burkina Faso,24,Storm,APC/APV,2019,2019,24,Aid
9482,Qatar,     Mali,24,Storm,APC/APV,2018,2018,24,Aid
9483,Qatar,     Mexico,559,MILAN,Anti-tank missile,2006,2006,559,Second-hand
9484,Qatar,     NTC (Libya)*,50,MILAN,Anti-tank missile,2011,2011,50,Second-hand; aid
9485,Qatar,     Oman,6,Blindfire,Fire control radar,1993,1993,6,Second-hand; for use with Rapier SAM system
9487,Qatar,     Somalia,68,Storm,APC/APV,2018,2019,68,Aid
9490,Romania, Iraq,150,T-55,Tank,1981,1982-1984,150,TR-580 (TR-77) version; delivered via Egypt
9491,Romania,     Netherlands,4,LCU Mk-9,Landing craft,1996,1999,4,Designed in Netherlands for Dutch Navy; produced in Romania and assembled in Netherlands
9492,Romania,     Algeria,6,SA-316B Alouette-3,Light helicopter,1983,1984,6,IAR-316B version
9493,Romania,     Angola,36,SA-316B Alouette-3,Light helicopter,1982,1983-1985,36,IAR-316B version; armed in France before delivery
9494,Romania,     Bangladesh,9,RN-94,APC,2004,2005,9,Ambulance version
9495,Romania,     Bosnia-Herzegovina,18,APR-40 122mm,Self-propelled MRL,1997,1997,18,Possibly financed by USA; no. could be 36
9497,Romania,     Burkina Faso,5,APR-40 122mm,Self-propelled MRL,2009,2009,5,Probably second-hand; designation uncertain (reported as '120mm missile launcher' or 'rocket launcher')
9498,Romania,     Cameroon,12,M-46 130mm,Towed gun,1991,1992,12,Second-hand
9500,Romania,     Cote d'Ivoire,4,SA-330 Puma,Helicopter,2002,2003,4,$12 m deal; IAR-330 version; incl 2 for VIP transport
9501,Romania,     DR Congo,1,SA-330 Puma,Helicopter,1970,1971,1,IAR-330 version
9502,Romania,     Ethiopia,10,SA-316B Alouette-3,Light helicopter,1977,1978,10,IAR-316B version
9503,Romania,     Guinea,1,SA-316B Alouette-3,Light helicopter,1973,1974,1,IAR-316B version
9506,Romania,     Hungary,12,Yak-52,Trainer aircraft,1994,1994,12,
9507,Romania,     Kenya,9,SA-330 Puma,Helicopter,1977,1978-1980,9,IAR-330 version; no. could be up to 16
9508,Romania,     Lebanon,6,SA-330 Puma,Helicopter,1983,1984,6,IAR-330 version; sold via France
9509,Romania,     Liberia,6,APR-40 122mm,Self-propelled MRL,1986,1987,6,"Deal worth $4 m incl 8 BTR-60P and 8 BTR-50P APCs, M-1938 and M-1944 guns and AA guns"
9514,Romania,     Moldova,161,BTR-60PB,APC,1992,1992-1995,161,Second-hand; TAB-71M version
9517,Romania,     Mozambique,2,R40S Festival,Light aircraft,2012,2013,2,
9518,Romania,     Netherlands,2,Holland,OPV,2007,2012-2013,2,Designed in Netherlands and produced in Romania for Netherlands
9519,Romania,     Nigeria,11,APR-40 122mm,Self-propelled MRL,1991,1991-1992,11,
9521,Romania,     Pakistan,4,SA-330 Puma,Helicopter,1987,1988,4,IAR-330 version
9522,Romania,     Soviet Union,1500,Yak-52,Trainer aircraft,1976,1979-1991,1500,Incl for DOSAAF para-military training units
9523,Romania,     Sudan,10,SA-330 Puma,Helicopter,1984,1984-1985,10,IAR-330 version
9525,Romania,     UAE,10,SA-330 Puma,Helicopter,1993,1993-1994,10,Probably Second-hand; for Abu Dhabi; IAR-330L version
9527,Romania,     Viet Nam,12,Yak-52,Trainer aircraft,1997,1997,12,
9529,Romania,     Yugoslavia,20,SA-316B Alouette-3,Light helicopter,1971,1972-1973,20,IAR-316B version
9533,Russia, Syria,10,T-90S,Tank,2015,2015,10,Probably second-hand; possibly aid
9536,Russia,     Bulgaria,30,MT-LB,APC,1970,1992,30,Oordered from Soviet Union and produced under Russian licence after break-up of Soviet Union
9538,Russia,     China,105,Su-27S/Flanker-B,FGA aircraft,1996,1998-2007,105,Part of $1.5-2.5 b deal for 200 but about 95 cancelled; assembled from kits; Chinese designation J-11
9547,Russia,     India,600,T-72M1,Tank,1980,1992-2001,600,Indian designation Ajeya; ordered from Soviet Union and produced under Russian licence after break-up of Soviet Union
9575,Russia,     Iran,,9M111 Fagot/AT-4,Anti-tank missile,1991,1993-2019,5400,For BMP-2 and Boraq IFV
9581,Russia,     Kazakhstan,3,Project-22180,Patrol craft,2009,2010-2014,3,Kazakh designation Sardar
9582,Russia,     North Korea,4000,9M14M/AT-3,Anti-tank missile,1975,1992-1995,4000,Incl for BMP-1 IFV; continuation of original order from Soviet Union
9586,Russia,     Poland,77,T-72,Tank,1978,1992-1995,77,Ordered from Soviet Union and produced under Russian licence after break-up of Soviet Union
9590,Russia,     Romania,9,BTR-70,APC,1977,1992,9,Romanian designation TAB-77; incl command post and ARV versions; ordered from Soviet Union and produced under Russian licence after break-up of Soviet Union
9593,Russia,     Serbia,650,9M14M/AT-3,Anti-tank missile,1974,1992-2000,650,Incl for Mi-8 and SA-342 (HN-42M GAMA) helicopters and M-80 IFV; ordered by Yugoslavia from Soviet Union and produced by Serbia & Montenegro under Russian licence after break-up of Soviet Union
9595,Russia,     Turkey,2,S-400/SA-21,SAM system,2017,2019,2,Version incl Turkish components
9596,Russia,     Viet Nam,1,BPS-500/Type-1241A,FAC,1996,2001,1,Assembled from kit in Viet Nam; Vietnamese designation Ho-A
9600,Russia,     Afghanistan,1,An-12,Transport aircraft,2002,2002,1,Second-hand; aid
9611,Russia,     Algeria,2,AK-630 30mm,Naval gun,1992,1995-2002,2,For 2 Djebel Chenoua FAC produced in Algeria
9673,Russia,     Angola,35,BMP-1,IFV,1993,1993,35,Second-hand
9689,Russia,     Argentina,8,Su-29,Trainer aircraft,1997,1997-1998,8,Su-29AR version
9691,Russia,     Armenia,9,2K11 Krug/SA-4,SAM system,1993,1994,9,Second-hand; illegal transfer
9720,Russia,     Azerbaijan,62,T-72M1,Tank,2006,2007,62,Probably second-hand
9741,Russia,     Bahrain,250,Kornet/AT-14,Anti-tank missile,2014,2016,250,Kornet-EM version
9743,Russia,     Bangladesh,4,Mi-8MT/Mi-17,Transport helicopter,1992,1993,4,
9762,Russia,     Belarus,4,MiG-29,Fighter aircraft,1996,1998-1999,4,RRS14.4 b deal; MiG-29UB version
9785,Russia,     Bosnia-Herzegovina,1,Mi-34S,Light helicopter,1998,1998,1,
9786,Russia,     Botswana,50,Igla-1/SA-16,Portable SAM,1995,1996,50,
9787,Russia,     Brazil,112,Igla/SA-18,Portable SAM,1994,1994,112,Deal also incl 56 launchers
9792,Russia,     Bulgaria,2,L-410 Turbolet,Light transport ac,1992,1992,2,Second-hand; exchanged for 1 An-24 transport aircraft
9796,Russia,     Burkina Faso,1,Mi-8MT/Mi-17,Transport helicopter,1992,1993,1,Mi-17 version; supplier uncertain
9800,Russia,     Cameroon,3,Mi-8MT/Mi-17,Transport helicopter,2013,2013-2014,3,Probably Mi-17V-5 version
9803,Russia,     Chad,2,Mi-24D/Mi-25,Combat helicopter,1997,1998,2,Probably second-hand; designation uncertain (reported as attack helicopter)
9807,Russia,     China,300,R-73/AA-11,SRAAM,1991,1992,300,For Su-27 combat aircraft; ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
9892,Russia,     Colombia,10,Mi-8MT/Mi-17,Transport helicopter,1996,1997,10,$49 m deal; Mi-17 version; ordered after USA refused to sell S-70/UH-60 helicopters
9896,Russia,     Congo,2,Mi-8MT/Mi-17,Transport helicopter,2012,2013-2014,2,Armed Mi-171 version
9897,Russia,     Cote d'Ivoire,4,KAMAZ-7403,Diesel engine,2018,2018,4,For 4 BTR-70 modernized to BTR-70MB from Belarus
9898,Russia,     Croatia,20,Mi-8MT/Mi-17,Transport helicopter,1992,1992-1993,20,Second-hand; delivered despite UN arms embargo; possibly incl some MI-17 version
9900,Russia,     Cuba,1,MiG-29,Fighter aircraft,2004,2004,1,Second-hand; MiG-29UB trainer version
9901,Russia,     Cyprus,700,9M117 Bastion/AT-10,Anti-tank missile,1995,1995-1996,700,For 43 BMP-3 IFV; status uncertain
9912,Russia,     Czechia,7,Mi-24V/Mi-35,Combat helicopter,2002,2003,7,Payment for debt
9915,Russia,     Djibouti,6,Mi-8T,Transport helicopter,1992,1992,6,Probably second-hand; supplier could be Ethiopia
9918,Russia,     Ecuador,7,Mi-8MT/Mi-17,Transport helicopter,1996,1997,7,
9922,Russia,     Egypt,58,BMP-2 turret,IFV turret,1990,1993-1997,58,For Fahd-240/30 IFV from FRG; ordered from Soviet Union and delivered from Russia
9953,Russia,     Equatorial Guinea,1,Mi-8MT/Mi-17,Transport helicopter,2005,2006,1,Mi-172 version; 1 more delivered for government VIP transport
9955,Russia,     Eritrea,50,Igla/SA-18,Portable SAM,1995,1995,50,
9966,Russia,     Ethiopia,309,D-30 122mm,Towed gun,1997,1998-2000,309,Possibly second-hand; designation uncertain (reported as artillery of 100mm or more calibre)
9981,Russia,     Finland,420,9M111 Fagot/AT-4,Anti-tank missile,1991,1992,420,For BMP-2 IFV; probably ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
9987,Russia,     Georgia,5,T-72,Tank,1993,1993,5,Second-hand; transferred by Russian forces in Georgia
9988,Russia,     Germany,13,RD-33,Turbofan,1992,1992,13,Spares for MiG-29 combat aircraft
9989,Russia,     Ghana,4,Mi-8MT/Mi-17,Transport helicopter,2004,2004,4,$55 m deal (financed with loan from UK bank)
9992,Russia,     Greece,175,5V55U/SA-10,SAM,1997,1999,175,Part of $218 m or $420 m deal
10006,Russia,     Guinea,4,Tigr,APV,2011,2011,4,
10007,Russia,     Hungary,28,MiG-29S,FGA aircraft,1993,1993,28,$1.2 b deal (payment for Russian debt to Hungary); incl 6 MiG-29UB version
10014,Russia,     India,250,Strela-2/SA-7,Portable SAM,1981,1992-1994,250,Incl SA-N-5 naval version; probably ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
10121,Russia,     Indonesia,12,BTR-80A,IFV,2001,2002,12,$6.5 m deal
10148,Russia,     Iran,2,Project-877E/Kilo,Submarine,1991,1992-1993,2,$750 m deal; Iranian designation Tareq; ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
10170,Russia,     Iraq,10,Mi-8MT/Mi-17,Transport helicopter,2005,2006,10,$65 m deal; ordered via Polish company; Mi-17V-5 version; incl 1 for VIP transport
10188,Russia,     Jordan,100,Igla/SA-18,Portable SAM,2000,2001,100,
10192,Russia,     Kazakhstan,13,L-39C Albatros,Trainer aircraft,1995,1996-2000,13,Second-hand; payment for Russian debt to Kazakhstan
10229,Russia,     Kenya,3,Mi-8MT/Mi-17,Transport helicopter,2010,2010,3,Mi-171E armed version
10230,Russia,     Kuwait,460,9M111 Fagot/AT-4,Anti-tank missile,1994,1994-1995,460,For BMP-2 IFVs
10237,Russia,     Kyrgyzstan,2,Mi-8MT/Mi-17,Transport helicopter,2003,2003,2,Second-hand but modernized before delivery; Mi-17 version
10245,Russia,     Laos,1,Ka-32,Helicopter,1997,1998,1,
10256,Russia,     Latvia,2,Mi-8MT/Mi-17,Transport helicopter,2003,2004-2005,2,Second-hand but possibly modernized before delivery; $4.8 m deal; Mi-8MTV-1 version; incl for SAR
10257,Russia,     Libya,482,Igla-S/SA-24,Portable SAM,2004,2006-2008,482,For vehicle-mounted launchers
10263,Russia,     Lithuania,60,9M33/SA-8,SAM,1992,1992,60,Second-hand; Osa-M (SA-N-4) version for 2 Grisha-3 (Zemaitis) corvettes; status uncertain
10268,Russia,     Macedonia,4,Mi-8MT/Mi-17,Transport helicopter,1994,1994,4,Mi-17 version; delivered as civilian aircraft while Macedonia was under UN embargo and officially in service with air force after lifting of embargo in 1996
10269,Russia,     Madagascar,4,MiG-21MF,Fighter aircraft,1996,1996,4,Second-hand;; incl 2 MiG-21UM version
10270,Russia,     Malaysia,18,MiG-29S,FGA aircraft,1994,1995,18,$600 m deal (offsets $220 m incl $150 m barter; incl modernization within few years); MiG-29N version (incl 2 MiG-29NUB)
10281,Russia,     Mali,4,Mi-35M,Combat helicopter,2016,2017,2,
10282,Russia,     Mexico,8,Mi-8MT/Mi-17,Transport helicopter,1994,1994-1995,8,
10294,Russia,     Mongolia,2,Mi-8MT/Mi-17,Transport helicopter,2007,2008,2,Mi-171E version; probably aid
10302,Russia,     Morocco,100,9M113 Konkurs/AT-5,Anti-tank missile,2000,2001,100,
10306,Russia,     Mozambique,1,Mi-8T,Transport helicopter,1999,1999,1,Second-hand; Mi-8TV version
10308,Russia,     Myanmar,7,Mi-8MT/Mi-17,Transport helicopter,1995,1995,7,
10329,Russia,     NATO**,1,An-124,Transport aircraft,2006,2006,1,"Second-hand; 'SALIS' deal; lease until end-2018 (EUR38 m for first year; interim solution until delivery of A-400); for use by 14 NATO countries, Finland and Sweden"
10330,Russia,     Nepal,1,Mi-8MT/Mi-17,Transport helicopter,2004,2004,1,$4 m deal; Mi-17 version
10332,Russia,     Nicaragua,2,Mi-8MT/Mi-17,Transport helicopter,2009,2009,2,Mi-171B or Mi-171E or Mi-17V-5 version; for anti-narcotics operations and possibly VIP transport; possibly aid
10337,Russia,     Niger,2,Mi-24P/Mi-35P,Combat helicopter,2007,2008,2,Possibly second-hand
10338,Russia,     Nigeria,10,Mi-34S,Light helicopter,1999,2001-2002,10,For training
10347,Russia,     Northern Alliance (Afghanistan)*,100,Igla-1/SA-16,Portable SAM,1999,1999-2000,100,
10361,Russia,     North Korea,6,MR-104/Drum Tilt,Fire control radar,1979,1992-1996,6,For 3 Taechong-2 (Mayang) patrol craft and 3 Soju FAC produced in North Korea; probably ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
10370,Russia,     Pakistan,12,Mi-8MT/Mi-17,Transport helicopter,1995,1996,12,$32 m deal; Mi-17 version
10379,Russia,     Palestine,45,BRDM-2,Reconnaissance AV,1994,1995-1996,45,Second-hand; for police; aid
10384,Russia,     Peru,4,Mi-8MT/Mi-17,Transport helicopter,1990,1992,4,Ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
10397,Russia,     Philippines,12,Mi-8MT/Mi-17,Transport helicopter,2019,,,Selected 2019 but not yet ordered by end-2019
10398,Russia,     Poland,3,MR-123/Bass Tilt,Fire control radar,1988,1992-1995,3,For 3 Orkan FAC from in FRG (originally ordered from GDR before German unification); probably ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
10405,Russia,     Qatar,200,Igla-S/SA-24,Portable SAM,2017,2017-2019,150,For NMS armoured vehicles
10406,Russia,     Romania,3,AK-230 30mm,Naval gun,1987,1992-1995,3,For 1 Tulcea tanker and 2 Grozavu tugs produced in Romania: probably ordered from Soviet Union and delivered from Russia after break-up of Soviet Union
10417,Russia,     Russia,,Su-35,FGA aircraft,2015,,,Su-35S version
10418,Russia,     Rwanda,4,Mi-8MT/Mi-17,Transport helicopter,1998,1999-2000,4,Possibly incl some ex-Russian; Mi-17MD armed version
10420,Russia,     Saudi Arabia,,TOS-1,Self-propelled MRL,2017,2019,5,
10421,Russia,     Senegal,2,Mi-8MT/Mi-17,Transport helicopter,2004,2005,2,Mi-171 version
10423,Russia,     Serbia,2,Mi-8MT/Mi-17,Transport helicopter,1997,1997,2,Second-hand
10434,Russia,     Sierra Leone,4,BMP-2,IFV,1992,1992,4,Second-hand
10435,Russia,     Singapore,350,Igla/SA-18,Portable SAM,1997,1998-1999,350,Deal incl also 30 launchers; no. could be 440; possibly assembled in Singapore
10436,Russia,     Slovakia,6,MiG-29S,FGA aircraft,1993,1993-1994,6,$180 m deal (payment for debt); incl 1 MiG-29UB
10441,Russia,     Slovenia,4,Igla-1/SA-16,Portable SAM,2003,2003,4,
10445,Russia,     South Africa,1,Kondor-E,Recce satellite,2006,2014,1,ZAR1.2 b ($186 m) 'Project Consolidated Flute' deal
10446,Russia,     South Korea,550,9M117 Bastion/AT-10,Anti-tank missile,1995,1996-1998,550,Part of $309 m 'Bul-Gom' or 'Red Bear-1' (payment of debt); for BMP-3 IFV
10458,Russia,     South Sudan,9,Mi-8MT/Mi-17,Transport helicopter,2007,2011,9,Mi-17V-5 version (not incl 1 Mi-172 version for government VIP transport)
10460,Russia,     Sri Lanka,3,Mi-8MT/Mi-17,Transport helicopter,1992,1993,3,
10468,Russia,     Sudan,2,An-32,Transport aircraft,1997,1997,2,Probably second-hand; An-32B version
10485,Russia,     Syria,149,V-46,Diesel engine,1991,1992-1993,139,For 149 T-72M1 tanks from Czechslovakia and (after 1992 break-up of Czechoslovakia) from Slovakia; more delivered from USSR before break-up of USSR 1992
10508,Russia,     Tajikistan,10,Mi-8MT/Mi-17,Transport helicopter,1993,1994,10,Second-hand; Mi-8MTV version
10524,Russia,     Thailand,36,Igla-S/SA-24,Portable SAM,2008,2008,36,$4 m deal
10528,Russia,     Turkey,174,BTR-80,APC,1992,1993-1995,174,Second-hand
10535,Russia,     Turkmenistan,6,BM-9A52 Smerch,Self-propelled MRL,2008,2009-2010,6,Possibly $70 m deal
10549,Russia,     UAE,250,BMP-3,IFV,1992,1992-1994,250,For Abu Dhabi
10558,Russia,     Uganda,1,Mi-8MT/Mi-17,Transport helicopter,1998,1998,1,Second-hand; supplier uncertain
10568,Russia,     Ukraine Rebels*,5,BTR-82A,IFV,2014,2014,5,Probably second-hand (but less than 2 years old); BTR-82AM version; aid
10572,Russia,     United Kingdom,31,Igla-1/SA-16,Portable SAM,2004,2005-2006,31,
10573,Russia,     United Nations**,2,Mi-26,Transport helicopter,2000,2000,2,Second-hand; leased for use by UN forces (UNAMSIL) in Sierra Leone
10574,Russia,     United States,6,Mi-8MT/Mi-17,Transport helicopter,2009,2012,6,Second-hand; for training
10575,Russia,     Unknown recipient(s),,K029E,Guided bomb,2019,,,Delivery planned from 2020
10577,Russia,     Uruguay,48,GAZ-3937 Vodnik,APC,2005,2006,48,Payment of debt
10578,Russia,     Uzbekistan,50,BTR-80,APC,2001,2001-2002,50,Part of $30 m deal
10582,Russia,     Venezuela,18,Mi-8MT/Mi-17,Transport helicopter,1995,1996-1997,18,Second-hand (modernized in Poland before delivery)
10617,Russia,     Viet Nam,20,P-15M/SS-N-2C,Anti-ship missile,1994,1996,20,For Tarantul-1 FAC
10659,Russia,     Yemen,100,Strela-2/SA-7,Portable SAM,1994,1994,100,Ex-Russian; SA-7b version; launchers delivered from Bulgaria
10670,Russia,     Zambia,2,Mi-8MT/Mi-17,Transport helicopter,2014,2015,2,Mi-171E version
10671,Russia,     Zimbabwe,6,Mi-24P/Mi-35P,Combat helicopter,1998,1999,6,Second-hand; bought for use in DRC against rebel forces; financed by DRC
10674,Saudi Arabia, Morocco,30,FH-70 155mm,Towed gun,1991,1993,30,Second-hand; probably aid
10675,Saudi Arabia,     Egypt,1,C-123K Provider,Transport aircraft,1980,1981,1,Second-hand
10676,Saudi Arabia,     Jordan,5,Hunter,Fighter aircraft,1967,1967-1968,5,Second-hand; incl 2 Hunter T-7 version
10678,Saudi Arabia,     North Yemen,2,T-6 Texan,Trainer aircraft,1954,1955,2,Second-hand; aid
10681,Saudi Arabia,     Oman,2,Bell-205/UH-1H,Helicopter,1971,1972,2,Second-hand; aid; AB-205 version
10682,Saudi Arabia,     Palestine,1,Bell-212/UH-1N,Helicopter,1996,1996,1,Second-hand; for police; AB-212 version
10683,Saudi Arabia,     Somalia,20,AML-60/90,Armoured car,1984,1984,20,Second-hand
10684,Saudi Arabia,     Sudan,53,M-41 Walker Bulldog,Light tank,1981,1981,53,Second-hand; aid
10686,Saudi Arabia,     Turkey,3,C-130E Hercules,Transport aircraft,2010,2011,3,Second-hand
10688,Saudi Arabia,     United States,1,Boeing-707,Transport aircraft,2005,2006,1,Second-hand; modified to tanker aircraft; owned and operated by US company and leased per hour to US and other armed forces
10689,Saudi Arabia,     Yemen,10,Al Shibl,APC/APV,2010,2010,10,
10693,Senegal, Gabon,1,Manga,Landing craft,1974,1976,1,
10696,Serbia, Sudan,12,Utva-75,Light aircraft,2008,2009-2013,12,Possibly incl 6 second-hand; assembled or produced in Sudan as Safat-03
10697,Serbia,     UAE,,ALAS,Coast defence system,2013,,,Incl production of components in UAE
10698,Serbia,     Bangladesh,18,B-52 NORA 155mm,Self-propelled gun,2011,2013-2016,18,
10701,Serbia,     Cambodia,60,T-55,Tank,2010,2010,60,Second-hand
10702,Serbia,     Cameroon,40,UBM-52 120mm,Mortar,2016,2016,40,Designation uncertain (reported as '120mm mortar')
10703,Serbia,     DR Congo,2,G-2A Galeb,Trainer aircraft,1996,1997,2,Ex-Yugoslav; operated by Yugoslav mercenaries
10707,Serbia,     Ethiopia,64,D-30 122mm,Towed gun,2011,2012,64,Probably second-hand; sold and/or delivered via Bulgaria; designation uncertain (reported as '122mm howitzer')
10708,Serbia,     Iraq,20,Lasta-95,Trainer aircraft,2007,2010-2011,20,Part of $235 m deal; option on 15 more not used
10709,Serbia,     Kenya,18,B-52 NORA 155mm,Self-propelled gun,2012,2014-2015,18,
10711,Serbia,     Macedonia,22,UBM-52 120mm,Mortar,2001,2001,22,Possibly ex-Yugoslav
10712,Serbia,     Myanmar,36,M-101A1 105mm,Towed gun,2001,2001,36,Ex-Yugoslav
